system:index,tropospheric_HCHO_column_number_density,.geo
125,1.569874932109658E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45598688037167,10.555204588404377]}"
126,1.3756009534778444E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81531299401948,10.555204588404377]}"
127,2.0824538472035426E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,10.64503611681633]}"
128,2.2637260361844542E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,10.64503611681633]}"
129,2.191826751716821E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76104102801311,10.64503611681633]}"
130,2.0814315494143803E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,10.64503611681633]}"
131,2.0938337896759545E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,10.64503611681633]}"
132,1.8404222682293284E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,10.64503611681633]}"
133,1.2459552105492173E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81531299401948,10.64503611681633]}"
134,2.1461810463113635E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31188338595335,10.734867645228281]}"
135,2.1992213248893394E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,10.734867645228281]}"
136,2.1469884654825138E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,10.734867645228281]}"
137,2.0012364477619809E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,10.734867645228281]}"
138,1.7837586193955148E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,10.734867645228281]}"
139,1.638250610464269E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,10.734867645228281]}"
140,1.700732252122334E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73733465307606,10.734867645228281]}"
141,1.7855743069769992E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91699770989996,10.734867645228281]}"
142,1.7051941896364587E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45598688037167,10.734867645228281]}"
143,2.3663852519708705E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,10.824699173640234]}"
144,2.461796128291548E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,10.824699173640234]}"
145,2.0881310947578087E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,10.824699173640234]}"
146,1.8672597785058753E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55767159625215,10.824699173640234]}"
147,1.6786733841821122E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.18649229513582,10.824699173640234]}"
148,1.572795146942379E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.54581840878363,10.824699173640234]}"
